symbol,industry
KRUS,restaurant
BLMN,restaurant
FRGI,restaurant
RUTH,restaurant
EAT,restaurant
DIN,restaurant
BJRI,restaurant
TXRH,restaurant
PLAY,restaurant
CBRL,restaurant
RRGB,restaurant
DENN,restaurant
ARKR,restaurant
CAKE,restaurant
DNKN,restaurant
NDLS,restaurant
CHUY,restaurant
JACK,restaurant
YUMC,restaurant
WEN,restaurant
DRI,restaurant
BH.A,restaurant
SHAK,restaurant
QSR,restaurant
SBUX,restaurant
LOCO,restaurant
YUMC,restaurant
BH.A,restaurant
BDL,restaurant
NATH,restaurant
DPZ,restaurant
PZZA,restaurant
MCD,restaurant
WING,restaurant
CMG,restaurant
OSW,cruise lines
CWH,cruise lines
SEAS,cruise lines
SIX,cruise lines
CNK,cruise lines
LYV,cruise lines
CCL,cruise lines
MTN,cruise lines
RCL,cruise lines
PLNT,cruise lines
WW,cruise lines
LIND,cruise lines
NCLH,cruise lines
FUN,cruise lines
MCS,cruise lines
TRWH,cruise lines
BXG,cruise lines
TCOM,cruise lines
MSGS,cruise lines
AWAY,cruise lines
RICK,cruise lines
MANU,cruise lines
MSC,cruise lines
C,bank
BKU,bank
CMA,bank
STT,bank
FITB,bank
FTC,bank
WFC,bank
MTB,bank
USB,bank
BAC,bank
KEY,bank
JPM,bank
PNC,bank
BKU,bank
NTRS,bank
GBCI,bank
PACW,bank
WAL,bank
FSBW,bank
HTBK,bank
BCML,bank
FHB,bank
MNRIM,bank
HAFC,bank
CATY,bank
BOH,bank
COLB,bank
CVCY,bank
OVLY,bank
HOPE,bank
CWBC,bank
UMPQ,bank
UBFO,bank
BSRR,bank
CVBF,bank
TCBK,bank
RBB,bank
PUB,bank
CPG,bank
EWBC,bank
BMRC,bank
PFBC,bank
ZION,bank
WABC,bank
AMRB,bank
BOCH,bank
FRC,bank
SIVB,bank
CCB,bank
M,retail
KSS,retail
DDS,retail
DBI,retail
ANF,retail
AEO,retail
ZUMZ,retail
JWN,retail
GPS,retail
LB,retail
TPR,retail
CPRI,retail
FL,retail
CTRN,retail
GOOS,retail
SPWH,retail
PLCE,retail
BKE,retail
URBN,retail
GCO,retail
SCVL,retail
CATO,retail
BOOT,retail
LEVI,retail
SFIX,retail
FTCH,retail
TJX,retail
ROST,retail
IHG,hotel
VAC,hotel
WH,hotel
MAR,hotel
HLT,hotel
HTHT,hotel
H,hotel
CHH,hotel
HGV,hotel
WYND,hotel
STAY,hotel
GHG,hotel
MCRI,casino
ERI,casino
CHDN,casino
PENN,casino
MGM,casino
GDEN,casino
WYNN,casino
LVS,casino
BYD,casino
RRR,casino
ACEL,casino
MLCO,casino
DOYU,casino
IGT,casino
CZR,casino
ZNGA,casino
TSG,casino
CPHC,casino
SCPL,casino
DIA,etf
spy,etf
iwm,etf
qqq,etf
pej,etf
pbj,etf
vti,etf
vfh,etf
ibuy,etf
xrt,etf
hpt,etf
inn,etf
bjk,etf
adbe,software
are,real estate
atvi,software
bac,bank
ce,chemical
cern,software
efx,professional services
emr,electrical equipment
eqix,real estate
lb,retail
ni,utilities
peg,utilities
pg,household products
ph,machinery
pnr,machinery
pvh,apparel
rop,industrial conglomerates
rost,retail
so,utilities
ual,airlines
vno,real estate
SUI,real estate   
DLR,real estate   
NRZ,real estate   
REG,real estate   
FRT,real estate   
CPT,real estate   
NLY,real estate   
PLD,real estate   
HASI,real estate   
WELL,real estate   
DRE,real estate   
SRG,real estate   
PEI,real estate   
IRM,real estate   
LAMR,real estate   
NRZ,real estate   
AGNC,real estate   
HIW,real estate   